               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05449,             0.10906,            0.032847,             0.62575,             0.35549,             0.35476,             0.18629,             0.04438,             0.08445,            0.024416,            0.070014,           0.0033318,           0.0033318
                   1,            0.041242,            0.087785,            0.021685,             0.53886,             0.51877,             0.43878,             0.28456,            0.037079,            0.072088,            0.018576,            0.039882,           0.0065331,           0.0065331
                   2,            0.037684,            0.081283,             0.01872,             0.55002,             0.60568,             0.50185,             0.33572,            0.034493,            0.069441,            0.017258,           0.0096181,           0.0096025,           0.0096025
                   3,            0.035221,            0.077573,            0.016549,              0.6639,             0.60699,             0.57212,             0.39626,            0.032435,            0.065468,            0.015328,            0.009406,            0.009406,            0.009406
                   4,            0.033498,            0.074688,            0.015299,             0.68996,             0.59541,             0.59949,             0.42858,            0.031638,            0.064434,            0.014509,            0.009406,            0.009406,            0.009406
                   5,            0.032396,            0.073133,            0.014491,             0.70939,              0.6375,             0.62965,             0.44828,             0.03067,            0.063094,            0.013872,            0.009208,            0.009208,            0.009208
                   6,            0.031565,            0.070886,            0.013757,             0.74254,             0.61089,             0.63432,             0.45995,            0.030334,            0.062683,            0.013552,             0.00901,             0.00901,             0.00901
                   7,            0.031208,            0.069824,            0.013282,               0.716,             0.64159,             0.64826,             0.46933,            0.029719,            0.061615,            0.013034,            0.008812,            0.008812,            0.008812
                   8,            0.030337,            0.068948,            0.012753,             0.70944,             0.65872,             0.66944,             0.48712,            0.029343,            0.060987,            0.012861,            0.008614,            0.008614,            0.008614
                   9,            0.030019,            0.068495,            0.012269,             0.68174,             0.67425,             0.65262,             0.47705,            0.028932,            0.060378,             0.01279,            0.008416,            0.008416,            0.008416
                  10,            0.029605,            0.067237,            0.011948,             0.72722,             0.68412,             0.68447,             0.49548,            0.028576,            0.059827,            0.012554,            0.008218,            0.008218,            0.008218
                  11,            0.029294,            0.066989,            0.011567,             0.76023,             0.66129,             0.69479,             0.50422,            0.028345,            0.059681,            0.012704,             0.00802,             0.00802,             0.00802
                  12,            0.028851,             0.06556,            0.011332,              0.7129,             0.69694,             0.69198,             0.50377,            0.028193,            0.059132,            0.012635,            0.007822,            0.007822,            0.007822
                  13,            0.028601,            0.065481,            0.011061,             0.70881,             0.69476,             0.69569,             0.51085,            0.027955,            0.058716,            0.012482,            0.007624,            0.007624,            0.007624
                  14,             0.02836,            0.065275,            0.010753,             0.73888,              0.6805,             0.70459,             0.51882,            0.027631,             0.05811,             0.01245,            0.007426,            0.007426,            0.007426
                  15,            0.027962,            0.064115,            0.010413,             0.75169,             0.68237,             0.70423,             0.52168,             0.02743,            0.058114,            0.012343,            0.007228,            0.007228,            0.007228
                  16,            0.027667,            0.063508,            0.010336,             0.72696,             0.70699,             0.71706,             0.52909,            0.027215,             0.05787,            0.012306,             0.00703,             0.00703,             0.00703
                  17,             0.02753,             0.06313,            0.010054,              0.7487,             0.68476,             0.71105,             0.52474,             0.02704,            0.057735,            0.012278,            0.006832,            0.006832,            0.006832
                  18,            0.027117,            0.062031,           0.0097913,             0.75074,             0.67747,             0.70103,             0.52577,             0.02698,            0.057604,            0.012502,            0.006634,            0.006634,            0.006634
                  19,             0.02691,            0.062181,           0.0095419,             0.77115,             0.66786,             0.71168,             0.53308,             0.02684,            0.057433,            0.012453,            0.006436,            0.006436,            0.006436
                  20,            0.026708,            0.061613,           0.0093604,             0.75419,             0.68068,             0.71467,             0.53526,            0.026739,            0.057323,            0.012472,            0.006238,            0.006238,            0.006238
                  21,            0.026358,            0.061235,             0.00914,             0.76618,             0.68474,             0.71611,             0.53738,            0.026591,            0.057175,            0.012503,             0.00604,             0.00604,             0.00604
                  22,            0.026286,            0.060709,           0.0089458,             0.76221,             0.67498,             0.69952,             0.52271,             0.02647,            0.057445,             0.01275,            0.005842,            0.005842,            0.005842
                  23,            0.026039,             0.06005,           0.0087902,             0.73942,             0.69219,              0.7016,             0.52885,            0.026399,            0.057301,             0.01278,            0.005644,            0.005644,            0.005644
                  24,            0.025715,            0.059384,           0.0085493,             0.75193,             0.68916,             0.71426,             0.53859,             0.02628,            0.057105,             0.01284,            0.005446,            0.005446,            0.005446
                  25,            0.025469,            0.058962,           0.0083429,             0.74987,             0.69694,             0.70461,              0.5294,            0.026292,            0.057045,            0.012891,            0.005248,            0.005248,            0.005248
                  26,            0.025375,            0.059097,           0.0081804,             0.75032,             0.68597,             0.70914,              0.5323,            0.026262,            0.057164,            0.013027,             0.00505,             0.00505,             0.00505
                  27,            0.025146,            0.058101,           0.0080112,             0.76113,             0.67957,             0.70277,             0.52841,             0.02617,            0.057191,            0.013088,            0.004852,            0.004852,            0.004852
                  28,            0.024964,            0.058273,            0.007851,             0.76821,             0.67957,             0.70344,             0.52883,            0.026126,             0.05713,            0.013183,            0.004654,            0.004654,            0.004654
                  29,            0.024678,            0.057075,           0.0075766,             0.72466,             0.69969,             0.69961,             0.52605,            0.026081,             0.05717,            0.013381,            0.004456,            0.004456,            0.004456
                  30,             0.02459,            0.056971,           0.0074063,             0.72442,             0.69842,             0.69207,             0.51967,            0.026045,            0.057318,            0.013545,            0.004258,            0.004258,            0.004258
                  31,            0.024473,            0.056653,           0.0072603,               0.723,             0.69218,             0.68564,             0.51252,            0.026022,            0.057324,            0.013628,             0.00406,             0.00406,             0.00406
                  32,            0.024152,            0.055846,           0.0071332,             0.72761,             0.68802,             0.68683,             0.51765,            0.026007,            0.057405,            0.013711,            0.003862,            0.003862,            0.003862
                  33,            0.024076,            0.055477,           0.0069789,             0.76736,             0.67403,             0.69167,             0.52094,            0.025986,            0.057435,            0.013816,            0.003664,            0.003664,            0.003664
                  34,            0.023869,            0.055105,           0.0068125,             0.75292,              0.6703,               0.682,             0.51619,             0.02596,            0.057509,            0.013982,            0.003466,            0.003466,            0.003466
